               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.038105,            0.016927,            0.030676,             0.53225,             0.50722,             0.49964,             0.28985,            0.033992,           0.0068757,            0.020401,            0.007954,            0.007954,            0.007954
                  64,            0.037579,            0.016745,            0.030568,             0.50385,             0.51425,             0.49797,             0.28812,            0.034112,           0.0068717,            0.021659,            0.007921,            0.007921,            0.007921
                  65,            0.037922,            0.016822,            0.029961,             0.53079,             0.50176,             0.50365,             0.29128,            0.033194,           0.0068391,            0.023687,            0.007888,            0.007888,            0.007888
                  66,            0.037942,              0.0166,            0.030316,             0.50711,             0.52074,              0.5009,             0.28951,            0.033122,           0.0068064,             0.02054,            0.007855,            0.007855,            0.007855
                  67,            0.037794,            0.016668,            0.029479,              0.5206,             0.52075,             0.50305,             0.29381,            0.033554,           0.0067897,            0.020485,            0.007822,            0.007822,            0.007822
                  68,            0.037875,            0.016602,            0.029378,             0.51747,             0.51857,             0.51402,             0.30067,            0.033757,           0.0067852,            0.021796,            0.007789,            0.007789,            0.007789
                  69,            0.038146,              0.0168,            0.029398,             0.51536,             0.52726,             0.50391,             0.29344,            0.033741,           0.0068094,            0.020428,            0.007756,            0.007756,            0.007756
                  70,            0.037667,             0.01684,            0.029294,             0.52812,             0.52533,             0.51166,             0.29766,            0.033347,           0.0067944,            0.021944,            0.007723,            0.007723,            0.007723
                  71,             0.03767,            0.016667,            0.028149,             0.53052,              0.5285,              0.5159,             0.30333,            0.033043,           0.0068183,            0.022467,             0.00769,             0.00769,             0.00769
                  72,            0.038296,             0.01666,            0.028973,             0.53295,             0.52477,             0.52178,             0.30184,            0.033437,           0.0067697,            0.020758,            0.007657,            0.007657,            0.007657
                  73,            0.037543,            0.016634,            0.028763,             0.56028,             0.52391,              0.5194,             0.30287,            0.033472,           0.0068046,            0.020199,            0.007624,            0.007624,            0.007624
                  74,            0.037657,             0.01669,            0.028554,              0.5269,             0.53641,             0.52217,             0.30628,            0.033659,            0.006753,            0.020235,            0.007591,            0.007591,            0.007591
                  75,            0.037332,            0.016732,            0.029289,             0.51986,             0.55184,              0.5269,             0.31209,            0.033318,            0.006738,            0.019561,            0.007558,            0.007558,            0.007558
                  76,            0.037457,            0.016562,            0.028074,             0.51773,             0.55454,             0.52482,             0.30932,            0.033672,           0.0067637,             0.02179,            0.007525,            0.007525,            0.007525
                  77,            0.037204,            0.016698,            0.028086,             0.52692,             0.54953,             0.53164,              0.3118,            0.033285,           0.0067424,            0.020379,            0.007492,            0.007492,            0.007492
                  78,            0.037161,            0.016462,            0.028504,             0.53063,             0.55499,             0.53661,             0.31552,            0.033074,           0.0067647,            0.020669,            0.007459,            0.007459,            0.007459
                  79,            0.037106,            0.016388,            0.028395,              0.5696,             0.50605,             0.53253,             0.31547,             0.03297,           0.0067259,            0.021574,            0.007426,            0.007426,            0.007426
                  80,            0.037311,            0.016735,            0.028248,             0.52392,             0.54894,             0.53393,             0.31703,            0.033147,           0.0066945,            0.020257,            0.007393,            0.007393,            0.007393
                  81,            0.037451,            0.016594,            0.027778,             0.52157,             0.54666,             0.53275,             0.31517,            0.032843,           0.0067441,            0.020123,             0.00736,             0.00736,             0.00736
                  82,            0.037407,             0.01649,            0.027844,             0.51333,             0.56185,             0.53394,              0.3159,            0.033118,           0.0067131,            0.019748,            0.007327,            0.007327,            0.007327
                  83,            0.037729,            0.016655,            0.028333,             0.51324,              0.5629,             0.54035,             0.32117,            0.032872,           0.0066781,            0.019386,            0.007294,            0.007294,            0.007294
                  84,            0.037067,            0.016575,            0.026484,             0.54138,             0.55088,             0.54319,               0.321,            0.032949,           0.0067056,            0.020497,            0.007261,            0.007261,            0.007261
                  85,            0.037165,            0.016542,            0.027581,             0.52163,             0.55988,             0.53957,             0.31989,            0.033005,           0.0067031,            0.019787,            0.007228,            0.007228,            0.007228
                  86,            0.037064,            0.016379,            0.025507,             0.53157,             0.54386,              0.5361,             0.31682,            0.033021,           0.0066529,            0.019977,            0.007195,            0.007195,            0.007195
                  87,            0.036549,            0.016442,            0.026898,             0.54775,             0.53249,             0.53977,             0.32144,            0.033001,           0.0066598,            0.019938,            0.007162,            0.007162,            0.007162
                  88,            0.037196,            0.016351,            0.027411,              0.5345,             0.54576,             0.54223,             0.32038,            0.033183,           0.0066691,            0.020049,            0.007129,            0.007129,            0.007129
                  89,            0.036436,            0.016459,             0.02627,             0.52989,             0.55945,             0.53812,             0.31969,            0.033287,           0.0066722,            0.020458,            0.007096,            0.007096,            0.007096
                  90,             0.03668,            0.016468,            0.026775,             0.54921,             0.53919,             0.53948,             0.32213,            0.033304,           0.0066612,             0.02016,            0.007063,            0.007063,            0.007063
                  91,            0.036958,            0.016393,            0.026678,             0.54691,             0.54367,             0.54428,               0.325,            0.033294,            0.006646,             0.01984,             0.00703,             0.00703,             0.00703
                  92,            0.036808,            0.016635,            0.025984,             0.54455,             0.55319,             0.54729,             0.32758,            0.033299,           0.0066508,            0.020358,            0.006997,            0.006997,            0.006997
                  93,            0.036277,            0.016491,            0.026193,             0.55092,             0.54869,             0.54603,             0.32729,             0.03326,           0.0066607,             0.02198,            0.006964,            0.006964,            0.006964
                  94,            0.036492,            0.016485,            0.027019,              0.5386,             0.55785,              0.5467,             0.32871,            0.032993,           0.0066487,            0.021605,            0.006931,            0.006931,            0.006931
                  95,            0.037005,            0.016322,            0.025655,              0.5492,             0.56009,             0.55002,             0.33151,             0.03298,            0.006653,            0.022539,            0.006898,            0.006898,            0.006898
                  96,             0.03642,            0.016297,            0.026303,             0.52581,             0.57455,             0.55028,             0.33071,            0.032998,            0.006648,            0.022926,            0.006865,            0.006865,            0.006865
                  97,            0.036531,            0.016414,             0.02519,             0.54397,             0.56068,             0.54998,             0.33028,            0.033146,           0.0066528,            0.021844,            0.006832,            0.006832,            0.006832
                  98,            0.036109,            0.016131,            0.025456,             0.53111,             0.56346,             0.55087,             0.33035,            0.033173,           0.0066626,             0.02191,            0.006799,            0.006799,            0.006799
                  99,            0.036682,            0.016365,            0.025697,             0.53891,             0.55108,             0.55209,             0.33121,            0.033042,            0.006661,            0.021749,            0.006766,            0.006766,            0.006766
                 100,            0.035922,            0.016238,            0.025407,             0.53515,              0.5585,             0.54976,              0.3311,            0.032983,           0.0066604,            0.021431,            0.006733,            0.006733,            0.006733
                 101,            0.036257,            0.016219,            0.025473,             0.55257,             0.54932,             0.55301,             0.33293,            0.032896,           0.0066692,            0.020963,              0.0067,              0.0067,              0.0067
                 102,            0.036017,             0.01637,            0.025503,             0.54292,             0.56266,             0.55518,             0.33429,            0.033088,           0.0066524,            0.020875,            0.006667,            0.006667,            0.006667
                 103,            0.035927,            0.016209,            0.024585,             0.53932,             0.57312,              0.5514,             0.33161,            0.033055,           0.0066605,            0.021111,            0.006634,            0.006634,            0.006634
                 104,            0.036179,            0.016599,            0.024869,             0.55231,             0.56455,             0.55583,             0.33248,            0.033098,           0.0066503,            0.021964,            0.006601,            0.006601,            0.006601
                 105,            0.036348,            0.016237,            0.025584,             0.53274,             0.57022,             0.55755,              0.3333,            0.033255,             0.00665,             0.02196,            0.006568,            0.006568,            0.006568
                 106,            0.036158,            0.016254,            0.024461,             0.53224,             0.58453,             0.55668,             0.33304,            0.033276,            0.006657,            0.022023,            0.006535,            0.006535,            0.006535
                 107,            0.036104,            0.016345,            0.024907,             0.54096,              0.5697,             0.55416,             0.33127,            0.033223,           0.0066599,             0.02145,            0.006502,            0.006502,            0.006502
                 108,            0.035912,            0.016293,            0.025489,             0.54387,             0.58248,             0.55813,             0.33312,            0.033117,           0.0066608,            0.021232,            0.006469,            0.006469,            0.006469
                 109,            0.035981,            0.016185,            0.024901,             0.54817,             0.57323,             0.55866,             0.33411,            0.033093,           0.0066586,            0.021203,            0.006436,            0.006436,            0.006436
                 110,            0.036065,            0.016153,            0.024619,             0.54978,             0.57401,             0.55674,              0.3323,            0.033003,           0.0066626,            0.020755,            0.006403,            0.006403,            0.006403
                 111,            0.035762,            0.016259,            0.024908,              0.5694,             0.56548,             0.55644,             0.33278,            0.032872,            0.006667,            0.020615,             0.00637,             0.00637,             0.00637
                 112,            0.035584,            0.016124,            0.024205,             0.53882,             0.57263,             0.55411,             0.33213,            0.032855,           0.0066563,            0.020831,            0.006337,            0.006337,            0.006337
                 113,            0.035874,            0.016252,            0.024079,             0.54209,              0.5729,             0.55478,             0.33406,            0.032792,           0.0066494,            0.021002,            0.006304,            0.006304,            0.006304
                 114,            0.035672,            0.016276,            0.023864,             0.54286,             0.57437,             0.55616,             0.33484,            0.032701,           0.0066427,            0.021138,            0.006271,            0.006271,            0.006271
                 115,            0.035495,            0.016209,            0.023944,             0.54388,             0.57393,             0.55619,             0.33537,            0.032653,           0.0066434,            0.021306,            0.006238,            0.006238,            0.006238
                 116,            0.035775,            0.016206,            0.023215,             0.54663,             0.57696,             0.55963,             0.33828,            0.032652,           0.0066394,            0.021023,            0.006205,            0.006205,            0.006205
                 117,            0.035549,            0.016056,            0.023489,             0.56228,             0.57694,              0.5612,             0.33858,            0.032654,            0.006632,             0.02075,            0.006172,            0.006172,            0.006172
                 118,            0.035475,            0.016189,            0.023518,             0.56217,              0.5748,             0.56086,              0.3388,            0.032739,           0.0066277,            0.020885,            0.006139,            0.006139,            0.006139
                 119,            0.035565,            0.016092,            0.023564,             0.54362,             0.57871,             0.56026,             0.33942,            0.032733,           0.0066249,            0.020695,            0.006106,            0.006106,            0.006106
                 120,             0.03587,            0.015903,            0.023763,             0.53944,             0.58888,             0.56082,              0.3394,            0.032765,           0.0066217,            0.020603,            0.006073,            0.006073,            0.006073
                 121,            0.035054,            0.016137,            0.024813,              0.5465,             0.58805,             0.56212,             0.33967,            0.032842,            0.006617,            0.020662,             0.00604,             0.00604,             0.00604
                 122,              0.0353,            0.015979,            0.023912,             0.55703,             0.57898,             0.56387,             0.34193,            0.032824,           0.0066128,            0.020573,            0.006007,            0.006007,            0.006007
                 123,            0.035261,            0.015997,             0.02439,             0.55613,             0.57981,             0.56425,             0.34155,            0.032869,           0.0066111,            0.020813,            0.005974,            0.005974,            0.005974
                 124,            0.035487,            0.015952,             0.02361,             0.57269,             0.57929,             0.56489,             0.34213,            0.032856,           0.0066075,            0.020693,            0.005941,            0.005941,            0.005941
                 125,            0.035619,            0.016006,            0.023908,             0.58928,             0.57501,             0.56487,             0.34254,            0.032836,           0.0066058,            0.020748,            0.005908,            0.005908,            0.005908
                 126,            0.035277,             0.01613,            0.023656,             0.59218,             0.57391,             0.56546,             0.34272,            0.032852,           0.0066059,            0.020907,            0.005875,            0.005875,            0.005875
                 127,            0.035397,            0.016189,            0.023488,             0.58338,             0.57493,             0.56706,             0.34287,            0.032865,           0.0066058,            0.021097,            0.005842,            0.005842,            0.005842
                 128,            0.035094,            0.016061,            0.022681,             0.59756,             0.56976,             0.56702,             0.34357,              0.0329,           0.0066055,             0.02121,            0.005809,            0.005809,            0.005809
                 129,            0.035172,            0.016002,            0.021673,             0.58644,             0.56634,             0.56818,             0.34423,             0.03292,           0.0066044,            0.021337,            0.005776,            0.005776,            0.005776
                 130,            0.035274,            0.015955,            0.022649,             0.58692,             0.56969,             0.56874,              0.3449,            0.032937,           0.0066079,             0.02161,            0.005743,            0.005743,            0.005743
                 131,            0.035046,            0.016164,            0.022764,             0.58768,             0.57062,             0.56867,             0.34473,             0.03296,           0.0066088,            0.021775,             0.00571,             0.00571,             0.00571
                 132,            0.034881,            0.015934,             0.02229,             0.58893,             0.57141,             0.56842,             0.34501,            0.032973,           0.0066056,            0.021814,            0.005677,            0.005677,            0.005677
                 133,            0.034535,            0.015925,            0.022914,             0.58865,             0.57348,             0.57015,             0.34718,            0.032965,           0.0066049,            0.021817,            0.005644,            0.005644,            0.005644
                 134,            0.035082,            0.016054,            0.022077,             0.59001,             0.57737,              0.5713,             0.34751,            0.032973,           0.0066078,            0.021918,            0.005611,            0.005611,            0.005611
                 135,            0.035228,            0.015974,            0.022039,             0.58809,             0.58079,             0.57153,             0.34801,            0.032969,           0.0066065,            0.022056,            0.005578,            0.005578,            0.005578
                 136,            0.034638,            0.015967,            0.022667,             0.58492,             0.58407,             0.57105,             0.34756,            0.033003,           0.0066077,            0.022183,            0.005545,            0.005545,            0.005545
                 137,            0.035155,            0.016016,            0.022764,             0.58247,             0.58236,             0.57325,             0.34859,            0.033008,           0.0066073,            0.022062,            0.005512,            0.005512,            0.005512
                 138,            0.034765,            0.015978,            0.022364,             0.58657,              0.5823,             0.57204,               0.348,            0.033019,           0.0066077,            0.021908,            0.005479,            0.005479,            0.005479
                 139,            0.034791,            0.015838,            0.022907,             0.58457,             0.58294,             0.57301,             0.34856,            0.033019,           0.0066084,            0.021818,            0.005446,            0.005446,            0.005446
                 140,            0.034635,            0.015743,            0.023012,              0.5825,             0.58492,             0.57381,             0.34939,            0.033046,           0.0066058,            0.021813,            0.005413,            0.005413,            0.005413
                 141,            0.034666,            0.015891,            0.022434,             0.58036,              0.5837,             0.57157,             0.34852,            0.033048,           0.0066062,             0.02169,             0.00538,             0.00538,             0.00538
                 142,            0.034684,            0.015986,            0.021204,             0.58419,             0.58219,             0.57375,             0.34796,            0.033067,           0.0066065,            0.021636,            0.005347,            0.005347,            0.005347
                 143,            0.035054,            0.015886,            0.021488,             0.58271,             0.58193,             0.57426,             0.34965,            0.033067,           0.0066077,            0.021548,            0.005314,            0.005314,            0.005314
                 144,            0.034254,            0.015922,            0.021824,             0.58335,             0.58106,             0.57533,             0.35009,             0.03307,           0.0066072,            0.021468,            0.005281,            0.005281,            0.005281
                 145,            0.034627,            0.015942,            0.021341,             0.58313,             0.58033,             0.57556,             0.35066,            0.033075,           0.0066079,            0.021333,            0.005248,            0.005248,            0.005248
                 146,            0.034382,            0.015765,            0.021768,             0.58266,             0.58128,             0.57499,             0.34997,            0.033083,           0.0066065,            0.021304,            0.005215,            0.005215,            0.005215
                 147,            0.034059,            0.015821,            0.020788,             0.58563,             0.58062,             0.57665,             0.35056,            0.033085,           0.0066058,            0.021231,            0.005182,            0.005182,            0.005182
                 148,            0.034237,            0.015698,            0.021373,             0.58404,              0.5803,             0.57769,              0.3518,            0.033087,           0.0066046,            0.021245,            0.005149,            0.005149,            0.005149
